GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project_Assignment_1,default,TemperatureConverter,0,35,0,4,0,5,0,7,0,5
Project_Assignment_1,default,Main,32,0,0,0,7,0,2,0,2,0
